DateAsOf,FutureExpiryDate,OptionType,StrikePrice,CurrentPrice,ImpliedVol
20151231,20161231,Put,46,60,0.62
20151231,20161231,Put,44,60,0.63
20151231,20161231,Put,42,60,0.64
20151231,20161231,Put,40,60,0.65
20151231,20161231,Put,38,60,0.66
20151231,20161231,Put,36,60,0.67
20000101,20020101,Call,75,50,0.5
20000101,20020101,Call,73,50,0.49
20000101,20020101,Call,71,50,0.48
20000101,20020101,Call,69,50,0.47
20000101,20020101,Call,67,50,0.46
20000101,20020101,Call,65,50,0.45
20000101,20020101,Call,63,50,0.44
20000101,20020101,Call,61,50,0.43
20000101,20020101,Call,59,50,0.44
20000101,20020101,Call,57,50,0.45
20000101,20020101,Call,55,50,0.46
20000101,20020101,Call,53,50,0.46
20000101,20020101,Call,51,50,0.46
20000101,20020101,Call,49,50,0.46
20000101,20020101,Call,47,50,0.46
20000101,20020101,Call,45,50,0.46
20000101,20020101,Call,43,50,0.46
20000101,20020101,Call,41,50,0.46
20000101,20020101,Put,70,50,0.5
20000101,20020101,Put,68,50,0.51
20000101,20020101,Put,66,50,0.52
20000101,20020101,Put,64,50,0.53
20000101,20020101,Put,62,50,0.54
20000101,20020101,Put,60,50,0.55
20000101,20020101,Put,58,50,0.56
20000101,20020101,Put,56,50,0.57
20000101,20020101,Put,54,50,0.58
20000101,20020101,Put,52,50,0.59
20000101,20020101,Put,50,50,0.6
20000101,20020101,Put,48,50,0.61
20000101,20020101,Put,46,50,0.62
20000101,20020101,Put,44,50,0.63
20000101,20020101,Put,42,50,0.64
20000101,20020101,Put,40,50,0.65
20000101,20020101,Put,38,50,0.66
20000101,20020101,Put,36,50,0.67
19980101,19990101,Call,75,55,0.5
19980101,19990101,Call,73,55,0.49
19980101,19990101,Call,71,55,0.48
19980101,19990101,Call,69,55,0.47
19980101,19990101,Call,67,55,0.46
19980101,19990101,Call,65,55,0.45
19980101,19990101,Call,63,55,0.44
19980101,19990101,Call,61,55,0.43
19980101,19990101,Call,59,55,0.44
19980101,19990101,Call,57,55,0.45
19980101,19990101,Call,55,55,0.46
19980101,19990101,Call,53,55,0.46
19980101,19990101,Call,51,55,0.46
19980101,19990101,Call,49,55,0.46
19980101,19990101,Call,47,55,0.46
19980101,19990101,Call,45,55,0.46
19980101,19990101,Call,43,55,0.46
19980101,19990101,Call,41,55,0.46
19980101,19990101,Put,70,55,0.5
19980101,19990101,Put,68,55,0.51
19980101,19990101,Put,66,55,0.52
19980101,19990101,Put,64,55,0.53
19980101,19990101,Put,62,55,0.54
19980101,19990101,Put,60,55,0.55
19980101,19990101,Put,58,55,0.56
19980101,19990101,Put,56,55,0.57
19980101,19990101,Put,54,55,0.58
19980101,19990101,Put,52,55,0.59
19980101,19990101,Put,50,55,0.6
19980101,19990101,Put,48,55,0.61
19980101,19990101,Put,46,55,0.62
19980101,19990101,Put,44,55,0.63
19980101,19990101,Put,42,55,0.64
19980101,19990101,Put,40,55,0.65
19980101,19990101,Put,38,55,0.66
19980101,19990101,Put,36,55,0.67
